Struct / class sizes determined by looking at ASM (CMwNod types)

CAudioBufferKeeper | addr:007A07E0 | minOffset:20 | maxOffset:60 | offsets:8 | size:UNKNOWN
CControlEffectMoveFrame | addr:00799EA0 | minOffset:44 | maxOffset:44 | offsets:1 | size:64
CControlEffectSimi | addr:0078CFA0 | minOffset:24 | maxOffset:48 | offsets:4 | size:56
CControlEffectSwitchStyle | addr:0079C860 | minOffset:24 | maxOffset:24 | offsets:1 | size:28
CControlEntry | addr:00776AE0 | minOffset:304 | maxOffset:348 | offsets:8 | size:352
CControlEnum | addr:007752F0 | minOffset:312 | maxOffset:368 | offsets:4 | size:388
CControlField2 | addr:007824A0 | minOffset:288 | maxOffset:512 | offsets:25 | size:516
CControlForm | addr:0079BC40 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:368
CControlFrame | addr:00769960 | minOffset:144 | maxOffset:268 | offsets:3 | size:352
CControlFrameAnimated | addr:0077DE70 | minOffset:352 | maxOffset:440 | offsets:7 | size:444
CControlFrameStyled | addr:007833F0 | minOffset:352 | maxOffset:352 | offsets:1 | size:356
CControlGrid | addr:0076D3D0 | minOffset:384 | maxOffset:396 | offsets:4 | size:448
CControlIconIndex | addr:00793CB0 | minOffset:24 | maxOffset:52 | offsets:8 | size:64
CControlImage | addr:00792620 | minOffset:252 | maxOffset:344 | offsets:13 | size:352
CControlLabel | addr:0076A420 | minOffset:252 | maxOffset:328 | offsets:8 | size:332
CControlLayout | addr:0078DF60 | minOffset:20 | maxOffset:24 | offsets:2 | size:44
CControlList | addr:0077B330 | minOffset:252 | maxOffset:460 | offsets:12 | size:472
CControlListItem | addr:00775670 | minOffset:20 | maxOffset:208 | offsets:39 | size:212
CControlListMap | addr:007965F0 | minOffset:396 | maxOffset:512 | offsets:8 | size:516
CControlListMap2 | addr:00797B00 | minOffset:352 | maxOffset:540 | offsets:31 | size:544
CControlMediaItem | addr:00792120 | minOffset:24 | maxOffset:28 | offsets:2 | size:32
CControlMediaPlayer | addr:0078EB40 | minOffset:372 | maxOffset:424 | offsets:12 | size:428
CControlOverlay | addr:007913F0 | minOffset:288 | maxOffset:296 | offsets:3 | size:300
CControlPager | addr:00787060 | minOffset:352 | maxOffset:448 | offsets:15 | size:456
CControlQuad | addr:0076AE20 | minOffset:252 | maxOffset:316 | offsets:9 | size:324
CControlRadar | addr:00793580 | minOffset:324 | maxOffset:368 | offsets:6 | size:372
CControlSimi2 | addr:0078DC60 | minOffset:20 | maxOffset:72 | offsets:6 | size:76
CControlSlider | addr:0078F9A0 | minOffset:144 | maxOffset:324 | offsets:8 | size:328
CControlStyle | addr:007735D0 | minOffset:24 | maxOffset:384 | offsets:39 | size:388
CControlStyleSheet | addr:00775FA0 | minOffset:20 | maxOffset:40 | offsets:2 | size:44
CControlText | addr:00778A20 | minOffset:292 | maxOffset:300 | offsets:3 | size:UNKNOWN
CControlTimeLine | addr:0079AE00 | minOffset:288 | maxOffset:456 | offsets:18 | size:460
CControlTimeLine2 | addr:0078A0B0 | minOffset:288 | maxOffset:752 | offsets:38 | size:756
CControlTrackManiaTeamCard | addr:00452C70 | minOffset:484 | maxOffset:504 | offsets:5 | size:508
CControlUiDockable | addr:00791110 | minOffset:404 | maxOffset:416 | offsets:3 | size:420
CControlUiElement | addr:0079CB20 | minOffset:368 | maxOffset:368 | offsets:1 | size:372
CControlUiRange | addr:00777DE0 | minOffset:296 | maxOffset:296 | offsets:1 | size:300
CControlUrlLinks | addr:00783260 | minOffset:252 | maxOffset:352 | offsets:3 | size:356
CCtnMediaBlockEventTrackMania | addr:0045F650 | minOffset:44 | maxOffset:44 | offsets:1 | size:64
CCtnMediaBlockUiTMSimpleEvtsDisplay | addr:00452F50 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:56
CDx9DeviceCaps | addr:009828E0 | minOffset:1732 | maxOffset:1768 | offsets:10 | size:1896
CFunc | addr:00591BC0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CFuncClouds | addr:00592A80 | minOffset:20 | maxOffset:84 | offsets:6 | size:88
CFuncColor | addr:00597360 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:72
CFuncColorGradient | addr:00587D40 | minOffset:20 | maxOffset:64 | offsets:12 | size:76
CFuncCurves2Real | addr:005927D0 | minOffset:24 | maxOffset:24 | offsets:1 | size:40
CFuncCurvesReal | addr:00593BE0 | minOffset:24 | maxOffset:24 | offsets:1 | size:40
CFuncEnum | addr:00586BC0 | minOffset:32 | maxOffset:76 | offsets:4 | size:80
CFuncEnvelope | addr:00587FD0 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CFuncFullColorGradient | addr:00593DF0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CFuncGroup | addr:00594CC0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:40
CFuncGroupElem | addr:00594F60 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:24
CFuncKeys | addr:00591760 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CFuncKeysCmd | addr:00590E10 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:40
CFuncKeysNatural | addr:00594B20 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:40
CFuncKeysPath | addr:0058BF90 | minOffset:60 | maxOffset:108 | offsets:4 | size:140
CFuncKeysReal | addr:00586060 | minOffset:40 | maxOffset:40 | offsets:1 | size:44
CFuncKeysReals | addr:00595650 | minOffset:32 | maxOffset:32 | offsets:1 | size:44
CFuncKeysSkel | addr:00590590 | minOffset:40 | maxOffset:40 | offsets:1 | size:44
CFuncKeysSound | addr:00591040 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:40
CFuncKeysTrans | addr:0058F3E0 | minOffset:40 | maxOffset:40 | offsets:1 | size:44
CFuncKeysTransQuat | addr:0058FAC0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CFuncKeysVisual | addr:0059A150 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:40
CFuncLight | addr:0058E900 | minOffset:40 | maxOffset:48 | offsets:2 | size:UNKNOWN
CFuncLightColor | addr:00596C10 | minOffset:84 | maxOffset:84 | offsets:1 | size:88
CFuncLightIntensity | addr:0059A910 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:64
CFuncManagerCharacter | addr:0058E5D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CFuncManagerCharacterAdv | addr:005951D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CFuncNoise | addr:00591C50 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:60
CFuncPathMesh | addr:0058D9A0 | minOffset:40 | maxOffset:44 | offsets:2 | size:48
CFuncPathMeshLocation | addr:00595A80 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:76
CFuncPlug | addr:005863E0 | minOffset:20 | maxOffset:24 | offsets:2 | size:UNKNOWN
CFuncPuffLull | addr:005889F0 | minOffset:56 | maxOffset:136 | offsets:6 | size:140
CFuncSegment | addr:00A6A360 | minOffset:20 | maxOffset:20 | offsets:1 | size:36
CFuncShader | addr:0059ACD0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CFuncShaderFxFactor | addr:00599670 | minOffset:40 | maxOffset:44 | offsets:2 | size:60
CFuncShaderLayerUV | addr:00598440 | minOffset:76 | maxOffset:76 | offsets:1 | size:80
CFuncShaders | addr:005999F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CFuncShaderTweakKeysTranss | addr:00594040 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CFuncSin | addr:0059A350 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CFuncSkel | addr:00580EC0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CFuncSkelValues | addr:0058FDD0 | minOffset:20 | maxOffset:20 | offsets:1 | size:32
CFuncTree | addr:0058E7D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CFuncTreeBend | addr:00595C80 | minOffset:92 | maxOffset:92 | offsets:1 | size:96
CFuncTreeElevator | addr:00594650 | minOffset:40 | maxOffset:40 | offsets:1 | size:64
CFuncTreeRotate | addr:00595FF0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:60
CFuncTreeSubVisualSequence | addr:0058E030 | minOffset:44 | maxOffset:56 | offsets:4 | size:60
CFuncTreeTranslate | addr:0059A690 | minOffset:64 | maxOffset:64 | offsets:1 | size:68
CFuncVisual | addr:0058E840 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CFuncVisualBlendShapeSequence | addr:00595290 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:84
CFuncVisualShiver | addr:005963A0 | minOffset:40 | maxOffset:104 | offsets:3 | size:136
CFuncWeather | addr:00589AA0 | minOffset:24 | maxOffset:228 | offsets:29 | size:288
CGameAdvertising | addr:006F9490 | minOffset:40 | maxOffset:220 | offsets:28 | size:224
CGameAdvertisingElement | addr:00744040 | minOffset:32 | maxOffset:68 | offsets:5 | size:160
CGameAnalyzer | addr:0070ED60 | minOffset:20 | maxOffset:60 | offsets:11 | size:UNKNOWN
CGameApp | addr:0059E110 | minOffset:40 | maxOffset:376 | offsets:57 | size:404
CGameAvatar | addr:005D80E0 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CGameBulletModel | addr:00759C70 | minOffset:52 | maxOffset:160 | offsets:22 | size:164
CGameCalendarEvent | addr:00761530 | minOffset:28 | maxOffset:36 | offsets:3 | size:UNKNOWN
CGameCamera | addr:00692990 | minOffset:116 | maxOffset:116 | offsets:1 | size:120
CGameCampaignPlayerScores | addr:006E9EE0 | minOffset:52 | maxOffset:72 | offsets:6 | size:88
CGameCampaignScores | addr:006EB260 | minOffset:20 | maxOffset:24 | offsets:2 | size:76
CGameCampaignsScoresManager | addr:006ECC00 | minOffset:44 | maxOffset:48 | offsets:2 | size:52
CGameChallengeScores | addr:006EB820 | minOffset:24 | maxOffset:52 | offsets:5 | size:72
CGameChampionship | addr:00724FB0 | minOffset:20 | maxOffset:80 | offsets:10 | size:84
CGameControlCamera | addr:005D9530 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:288
CGameControlCameraEffect | addr:0075B340 | minOffset:20 | maxOffset:20 | offsets:1 | size:24
CGameControlCameraEffectAdaptativeNearZ | addr:007347C0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CGameControlCameraEffectGroup | addr:0071CDC0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CGameControlCameraEffectShake | addr:0075C820 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:60
CGameControlCameraFollowAboveWater | addr:004FF4F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:520
CGameControlCameraFree | addr:006912C0 | minOffset:300 | maxOffset:688 | offsets:8 | size:724
CGameControlCameraMaster | addr:00693740 | minOffset:104 | maxOffset:104 | offsets:1 | size:448
CGameControlCameraOrbital3d | addr:00695310 | minOffset:580 | maxOffset:832 | offsets:4 | size:836
CGameControlCameraTarget | addr:005D87A0 | minOffset:292 | maxOffset:416 | offsets:8 | size:516
CGameControlCameraTrackManiaRace | addr:0045FE00 | minOffset:28 | maxOffset:572 | offsets:4 | size:576
CGameControlCameraTrackManiaRace2 | addr:0045C3F0 | minOffset:28 | maxOffset:1236 | offsets:97 | size:1240
CGameControlCameraTrackManiaRace3 | addr:00458070 | minOffset:28 | maxOffset:1404 | offsets:90 | size:1408
CGameControlCard | addr:005A0860 | minOffset:352 | maxOffset:456 | offsets:20 | size:460
CGameControlCardCalendar | addr:0074CBA0 | minOffset:508 | maxOffset:520 | offsets:4 | size:524
CGameControlCardCalendarEvent | addr:0074D5C0 | minOffset:472 | maxOffset:484 | offsets:4 | size:488
CGameControlCardChampionship | addr:0074A080 | minOffset:492 | maxOffset:520 | offsets:8 | size:528
CGameControlCardCtnArticle | addr:0074B9A0 | minOffset:468 | maxOffset:472 | offsets:2 | size:480
CGameControlCardCtnCampaign | addr:0074B390 | minOffset:500 | maxOffset:544 | offsets:12 | size:548
CGameControlCardCtnChallengeInfo | addr:005D4250 | minOffset:460 | maxOffset:924 | offsets:50 | size:928
CGameControlCardCtnChapter | addr:0074A6E0 | minOffset:472 | maxOffset:476 | offsets:2 | size:488
CGameControlCardCtnGhost | addr:0074ABA0 | minOffset:468 | maxOffset:472 | offsets:2 | size:480
CGameControlCardCtnGhostInfo | addr:00749370 | minOffset:468 | maxOffset:472 | offsets:2 | size:480
CGameControlCardCtnNetServerInfo | addr:0063E640 | minOffset:460 | maxOffset:776 | offsets:36 | size:780
CGameControlCardCtnReplayRecordInfo | addr:0074BFF0 | minOffset:460 | maxOffset:476 | offsets:3 | size:484
CGameControlCardCtnVehicle | addr:00748EF0 | minOffset:468 | maxOffset:472 | offsets:2 | size:480
CGameControlCardGeneric | addr:00646F60 | minOffset:460 | maxOffset:608 | offsets:16 | size:612
CGameControlCardLadderRanking | addr:0074EC50 | minOffset:460 | maxOffset:528 | offsets:16 | size:596
CGameControlCardLeague | addr:0072EF80 | minOffset:460 | maxOffset:548 | offsets:14 | size:556
CGameControlCardManager | addr:005C02F0 | minOffset:20 | maxOffset:48 | offsets:5 | size:52
CGameControlCardMessage | addr:0073F750 | minOffset:460 | maxOffset:540 | offsets:14 | size:548
CGameControlCardNetOnlineEvent | addr:007474B0 | minOffset:460 | maxOffset:532 | offsets:12 | size:536
CGameControlCardNetOnlineNews | addr:0072C9C0 | minOffset:460 | maxOffset:580 | offsets:20 | size:588
CGameControlCardNetTeamInfo | addr:00748860 | minOffset:500 | maxOffset:556 | offsets:11 | size:564
CGameControlCardProfile | addr:0070D860 | minOffset:460 | maxOffset:528 | offsets:12 | size:536
CGameControlDataType | addr:0071C350 | minOffset:20 | maxOffset:32 | offsets:3 | size:36
CGameControlGrid | addr:0064D6A0 | minOffset:448 | maxOffset:592 | offsets:33 | size:596
CGameControlGridCard | addr:005BE6D0 | minOffset:596 | maxOffset:668 | offsets:8 | size:684
CGameControlGridCtnCampaign | addr:00746830 | minOffset:448 | maxOffset:488 | offsets:8 | size:492
CGameControlGridCtnChallengeGroup | addr:007459B0 | minOffset:448 | maxOffset:480 | offsets:6 | size:484
CGameControlPlayer | addr:00710F10 | minOffset:36 | maxOffset:44 | offsets:3 | size:48
CGameControlPlayerInput | addr:00710DE0 | minOffset:48 | maxOffset:52 | offsets:2 | size:UNKNOWN
CGameControlPlayerNet | addr:00759AF0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CGameCtnApp | addr:00601BB0 | minOffset:36 | maxOffset:1036 | offsets:69 | size:1040
CGameCtnArticle | addr:0069AA50 | minOffset:20 | maxOffset:140 | offsets:12 | size:156
CGameCtnBlock | addr:0060BCA0 | minOffset:32 | maxOffset:96 | offsets:10 | size:100
CGameCtnBlockInfo | addr:00661E90 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:304
CGameCtnBlockInfoClassic | addr:0074FEE0 | minOffset:88 | maxOffset:124 | offsets:7 | size:304
CGameCtnBlockInfoClip | addr:0065A850 | minOffset:48 | maxOffset:124 | offsets:10 | size:308
CGameCtnBlockInfoFlat | addr:00751010 | minOffset:88 | maxOffset:124 | offsets:7 | size:304
CGameCtnBlockInfoFrontier | addr:007503A0 | minOffset:48 | maxOffset:124 | offsets:10 | size:304
CGameCtnBlockInfoPylon | addr:00716030 | minOffset:48 | maxOffset:312 | offsets:12 | size:316
CGameCtnBlockInfoRectAsym | addr:006FECC0 | minOffset:88 | maxOffset:124 | offsets:7 | size:304
CGameCtnBlockInfoRoad | addr:006FE050 | minOffset:88 | maxOffset:304 | offsets:8 | size:308
CGameCtnBlockInfoSlope | addr:00744B90 | minOffset:88 | maxOffset:124 | offsets:7 | size:304
CGameCtnBlockSkin | addr:006FD410 | minOffset:28 | maxOffset:36 | offsets:3 | size:40
CGameCtnBlockUnit | addr:00700BC0 | minOffset:20 | maxOffset:56 | offsets:8 | size:UNKNOWN
CGameCtnBlockUnitInfo | addr:00700440 | minOffset:20 | maxOffset:80 | offsets:10 | size:84
CGameCtnCampaign | addr:005CD3D0 | minOffset:44 | maxOffset:136 | offsets:22 | size:140
CGameCtnCatalog | addr:005A0AA0 | minOffset:44 | maxOffset:44 | offsets:1 | size:48
CGameCtnChallenge | addr:005A4960 | minOffset:144 | maxOffset:432 | offsets:12 | size:504
CGameCtnChallengeGroup | addr:00653F30 | minOffset:48 | maxOffset:80 | offsets:9 | size:84
CGameCtnChallengeInfo | addr:005CECF0 | minOffset:52 | maxOffset:268 | offsets:35 | size:272
CGameCtnChallengeParameters | addr:005DFA20 | minOffset:36 | maxOffset:48 | offsets:3 | size:52
CGameCtnChapter | addr:006551A0 | minOffset:32 | maxOffset:260 | offsets:12 | size:264
CGameCtnCollection | addr:00610030 | minOffset:56 | maxOffset:272 | offsets:30 | size:360
CGameCtnCollector | addr:00713D20 | minOffset:28 | maxOffset:84 | offsets:10 | size:88
CGameCtnCollectorList | addr:006FDAC0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CGameCtnCollectorVehicle | addr:0065A3A0 | minOffset:32 | maxOffset:220 | offsets:19 | size:224
CGameCtnCursor | addr:0065F740 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:248
CGameCtnDecoration | addr:00714740 | minOffset:32 | maxOffset:108 | offsets:7 | size:164
CGameCtnDecorationAudio | addr:00757D50 | minOffset:104 | maxOffset:108 | offsets:2 | size:112
CGameCtnDecorationMood | addr:007578D0 | minOffset:32 | maxOffset:88 | offsets:13 | size:92
CGameCtnDecorationSize | addr:00757320 | minOffset:36 | maxOffset:60 | offsets:4 | size:76
CGameCtnDecorationTerrainModifier | addr:0072B1E0 | minOffset:24 | maxOffset:28 | offsets:2 | size:32
CGameCtnEdControlCam | addr:0075CBE0 | minOffset:20 | maxOffset:28 | offsets:3 | size:UNKNOWN
CGameCtnEdControlCamCustom | addr:0073DBF0 | minOffset:40 | maxOffset:96 | offsets:10 | size:144
CGameCtnEdControlCamPath | addr:0073D090 | minOffset:40 | maxOffset:96 | offsets:10 | size:144
CGameCtnEditor | addr:005A1870 | minOffset:20 | maxOffset:152 | offsets:17 | size:160
CGameCtnEditorScenePocLink | addr:00660700 | minOffset:100 | maxOffset:184 | offsets:3 | size:192
CGameCtnGhost | addr:005E0AD0 | minOffset:136 | maxOffset:400 | offsets:33 | size:408
CGameCtnGhostInfo | addr:00659300 | minOffset:20 | maxOffset:56 | offsets:5 | size:60
CGameCtnMasterServer | addr:006E5D90 | minOffset:1648 | maxOffset:1824 | offsets:25 | size:UNKNOWN
CGameCtnMediaBlock | addr:005D6FF0 | minOffset:20 | maxOffset:32 | offsets:4 | size:UNKNOWN
CGameCtnMediaBlock3dStereo | addr:0073B110 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CGameCtnMediaBlockCamera | addr:0073E8F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CGameCtnMediaBlockCameraCustom | addr:007311A0 | minOffset:36 | maxOffset:36 | offsets:1 | size:56
CGameCtnMediaBlockCameraEffect | addr:0075C3E0 | minOffset:36 | maxOffset:36 | offsets:1 | size:UNKNOWN
CGameCtnMediaBlockCameraEffectShake | addr:0073A740 | minOffset:40 | maxOffset:56 | offsets:2 | size:60
CGameCtnMediaBlockCameraGame | addr:007304F0 | minOffset:44 | maxOffset:52 | offsets:2 | size:56
CGameCtnMediaBlockCameraOrbital | addr:00698380 | minOffset:36 | maxOffset:36 | offsets:1 | size:104
CGameCtnMediaBlockCameraPath | addr:00732E80 | minOffset:36 | maxOffset:64 | offsets:3 | size:84
CGameCtnMediaBlockCameraSimple | addr:00697DB0 | minOffset:36 | maxOffset:52 | offsets:2 | size:56
CGameCtnMediaBlockEditorTriangles | addr:00755AC0 | minOffset:20 | maxOffset:176 | offsets:16 | size:216
CGameCtnMediaBlockEvent | addr:005DA760 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CGameCtnMediaBlockFx | addr:0073BAA0 | minOffset:40 | maxOffset:44 | offsets:2 | size:UNKNOWN
CGameCtnMediaBlockFxBloom | addr:00739560 | minOffset:52 | maxOffset:52 | offsets:1 | size:68
CGameCtnMediaBlockFxBlur | addr:0075C350 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CGameCtnMediaBlockFxBlurDepth | addr:00738C70 | minOffset:52 | maxOffset:52 | offsets:1 | size:68
CGameCtnMediaBlockFxBlurMotion | addr:0074F290 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:60
CGameCtnMediaBlockFxColors | addr:007380A0 | minOffset:52 | maxOffset:52 | offsets:1 | size:68
CGameCtnMediaBlockGhost | addr:00734D00 | minOffset:48 | maxOffset:52 | offsets:2 | size:56
CGameCtnMediaBlockImage | addr:00725460 | minOffset:36 | maxOffset:48 | offsets:4 | size:52
CGameCtnMediaBlockMusicEffect | addr:0073A180 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CGameCtnMediaBlockSound | addr:007227D0 | minOffset:52 | maxOffset:80 | offsets:8 | size:84
CGameCtnMediaBlockText | addr:00735F50 | minOffset:36 | maxOffset:60 | offsets:7 | size:64
CGameCtnMediaBlockTime | addr:00737650 | minOffset:36 | maxOffset:36 | offsets:1 | size:88
CGameCtnMediaBlockTrails | addr:0074EFB0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:44
CGameCtnMediaBlockTransition | addr:0075C2E0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CGameCtnMediaBlockTransitionFade | addr:00736A00 | minOffset:36 | maxOffset:76 | offsets:8 | size:80
CGameCtnMediaBlockTriangles | addr:0075D6B0 | minOffset:36 | maxOffset:96 | offsets:3 | size:UNKNOWN
CGameCtnMediaBlockTriangles2D | addr:00751320 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:124
CGameCtnMediaBlockTriangles3D | addr:00751760 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:124
CGameCtnMediaBlockUi | addr:005D7860 | minOffset:44 | maxOffset:52 | offsets:2 | size:56
CGameCtnMediaBlockUiSimpleEvtsDisplay | addr:005D6F60 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CGameCtnMediaClip | addr:00674B90 | minOffset:32 | maxOffset:56 | offsets:7 | size:68
CGameCtnMediaClipGroup | addr:00708DD0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:44
CGameCtnMediaClipPlayer | addr:00694CE0 | minOffset:20 | maxOffset:188 | offsets:18 | size:304
CGameCtnMediaClipViewer | addr:00673FA0 | minOffset:20 | maxOffset:120 | offsets:19 | size:124
CGameCtnMediaTrack | addr:006974C0 | minOffset:20 | maxOffset:44 | offsets:4 | size:48
CGameCtnMediaTracker | addr:0066B110 | minOffset:40 | maxOffset:1120 | offsets:65 | size:1124
CGameCtnMediaVideoParams | addr:006F5CA0 | minOffset:20 | maxOffset:56 | offsets:10 | size:60
CGameCtnMenus | addr:00623F10 | minOffset:20 | maxOffset:2108 | offsets:245 | size:UNKNOWN
CGameCtnNetForm | addr:0070A6D0 | minOffset:32 | maxOffset:32 | offsets:1 | size:UNKNOWN
CGameCtnNetServerInfo | addr:00706420 | minOffset:124 | maxOffset:504 | offsets:54 | size:512
CGameCtnNetwork | addr:0068BB80 | minOffset:1496 | maxOffset:1928 | offsets:39 | size:UNKNOWN
CGameCtnObjectInfo | addr:007591A0 | minOffset:88 | maxOffset:96 | offsets:3 | size:112
CGameCtnPainter | addr:006E1620 | minOffset:28 | maxOffset:1064 | offsets:60 | size:1068
CGameCtnPainterSetting | addr:00740BA0 | minOffset:20 | maxOffset:124 | offsets:14 | size:140
CGameCtnParticleParam | addr:00756CF0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:24
CGameCtnPylonColumn | addr:00717070 | minOffset:20 | maxOffset:40 | offsets:6 | size:44
CGameCtnReplayRecord | addr:005DC7D0 | minOffset:20 | maxOffset:72 | offsets:8 | size:76
CGameCtnReplayRecordInfo | addr:00658CE0 | minOffset:68 | maxOffset:84 | offsets:5 | size:92
CGameCtnZone | addr:0072B660 | minOffset:28 | maxOffset:44 | offsets:5 | size:48
CGameCtnZoneFlat | addr:0072AD50 | minOffset:28 | maxOffset:64 | offsets:6 | size:68
CGameCtnZoneFrontier | addr:0074F5E0 | minOffset:28 | maxOffset:48 | offsets:2 | size:60
CGameCtnZoneTest | addr:0074FB00 | minOffset:28 | maxOffset:84 | offsets:11 | size:88
CGameDialogs | addr:00609680 | minOffset:20 | maxOffset:116 | offsets:12 | size:UNKNOWN
CGameDialogShootVideo | addr:006F5990 | minOffset:20 | maxOffset:36 | offsets:5 | size:40
CGameEngine | addr:007112C0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CGameEnvironmentManager | addr:007111D0 | minOffset:20 | maxOffset:32 | offsets:3 | size:UNKNOWN
CGameFid | addr:00707250 | minOffset:20 | maxOffset:48 | offsets:8 | size:52
